Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A0A210QIS4,171,,Ras-like protein family member 10B,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A226F5D1,171,,Ras-related protein Rab-13,Folsomia candida (Springtail),158441,"GTPase activity, GTP binding, metal ion binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A267GC94,171,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A433TU87,171,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A444UKI7,171,,Ras-like protein family member 10B,Acipenser ruthenus (Sterlet sturgeon),7906,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A482XQ55,171,,Uncharacterized protein,Laodelphax striatellus (Small brown planthopper) (Delphax striatella),195883,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5B9D9F1,171,,Ras family protein,Candidatus Prometheoarchaeum syntrophicum,2594042,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5B9DB08,171,,Ras family protein,Candidatus Prometheoarchaeum syntrophicum,2594042,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A7SCP9,171,5510142,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"GTPase activity, GTP binding, protein kinase binding",nan,"actin filament organization, cortical cytoskeleton organization, establishment or maintenance of cell polarity, regulation of actin cytoskeleton organization, regulation of cell shape",nan,"Cytoskeleton, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
B7XIS1,171,,GTPase SAR1 related small G protein,Enterocytozoon bieneusi (strain H348) (Microsporidian parasite),481877,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
C4M799,171,3404833,Rho family GTPase,Entamoeba histolytica,5759,"GTPase activity, GTP binding, protein kinase binding",nan,"actin filament organization, cortical cytoskeleton organization, engulfment of apoptotic cell, establishment or maintenance of cell polarity, mitotic cytokinesis, regulation of actin cytoskeleton organization, regulation of cell shape, small GTPase mediated signal transduction",nan,"Cytoskeleton, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
I7M5Y0,171,7829610,Miro-like protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
K1QAS9,171,,Ras-like protein family member 10B,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
Q8SSH9,171,858558,RAS-LIKE GTP-BINDING PROTEIN (RHO subfamily),Encephalitozoon cuniculi (strain GB-M1) (Microsporidian parasite),284813,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
Q9VNB7,171,40652,"Uncharacterized protein, isoform A",Drosophila melanogaster (Fruit fly),7227,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
T1JA45,171,,Uncharacterized protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
V4B7N9,171,20235529,Uncharacterized protein,Lottia gigantea (Giant owl limpet),225164,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
W4Z5Q8,171,,Uncharacterized protein,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A0A0L0DLX8,172,25567820,Uncharacterized protein,Thecamonas trahens ATCC 50062,461836,"GTPase activity, GTP binding, guanyl-nucleotide exchange factor activity",Guanine-nucleotide releasing factor,small GTPase mediated signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0L0SL75,172,,Small GTP-binding protein domain,Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus),578462,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0S3QUZ2,172,,Uncharacterized protein,Thermosulfidibacter takaii (strain DSM 17441 / JCM 13301 / NBRC 103674 / ABI70S6),1298851,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0V0XNA5,172,,GTP-binding protein ypt1,Trichinella pseudospiralis (Parasitic roundworm),6337,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A158NYK3,172,105625911,Uncharacterized protein,Atta cephalotes (Leafcutter ant),12957,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A168R617,172,,Uncharacterized protein,Absidia glauca (Pin mould),4829,"GTPase activity, GTP binding, guanyl-nucleotide exchange factor activity",Guanine-nucleotide releasing factor,"small GTPase mediated signal transduction, ubiquitin-dependent protein catabolic process",nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1I8J7E6,172,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Q9ECF6,172,,DnaJ-like subfamily C member 27,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),2951,"calcium ion binding, GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1S3HRY4,172,106157259,ras-like GTP-binding protein Rho1,Lingula unguis,7574,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1S3JAY5,172,106171671,ras-related protein RABF1 isoform X3,Lingula unguis,7574,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7V9U8,172,109580829,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4U5M3W9,172,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5C2C6,172,,F-box domain-containing protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
C4V932,172,,Uncharacterized protein,Nosema ceranae (strain BRL01) (Microsporidian parasite),578460,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
I7MHH3,172,7831731,Ras family protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
L8GIH0,172,14913523,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
L8GWS3,172,14918506,Small GTPbinding protein domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
Q54FG4,172,8627874,Ras-related protein RabP,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,"intracellular protein transport, lipid droplet organization",nan,"Golgi apparatus, Plasma Membrane, Other locations",nan,nan,nan,Reference proteome,nan
R0MML1,172,,Transforming protein RhoA,Nosema bombycis (strain CQ1 / CVCC 102059) (Microsporidian parasite) (Pebrine of silkworm),578461,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
R1DRX3,172,17263409,Uncharacterized protein,Emiliania huxleyi (Pontosphaera huxleyi),2903,"GTPase activity, GTP binding",nan,nucleocytoplasmic transport,nan,nan,nan,nan,nan,Reference proteome,nan
R7T3K1,172,,Uncharacterized protein,Capitella teleta (Polychaete worm),283909,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A078A2X7,173,,Uncharacterized protein,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0D2AYM2,173,27312544,Mitochondrial Rho GTPase,Verruconis gallopava,253628,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0G4EHJ4,173,,Uncharacterized protein,Vitrella brassicaformis (strain CCMP3155),1169540,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0S4IR18,173,,"Ras-related GTP-binding protein, putative",Bodo saltans (Flagellated protozoan),75058,"GTPase activity, GTP binding, metal ion binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A1J4JJR3,173,,GTP-binding protein YPT7,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7U051,173,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A267E579,173,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A267EKJ6,173,,Uncharacterized protein,Macrostomum lignano,282301,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2B4SRE4,173,,Rho-related protein racA,Stylophora pistillata (Smooth cauliflower coral),50429,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2G9TXW1,173,,Ras family protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2P6N0K7,173,,Uncharacterized protein,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A369GRJ9,173,,Uncharacterized protein,Ophiocordyceps camponoti-leonardi (nom. inval.),2039875,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A3M7S086,173,,Uncharacterized protein,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A3M7T2A9,173,,Ras and EF-hand domain-containing-like isoform X2,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4S2M2R2,173,,EF-hand domain-containing protein,Opisthorchis felineus,147828,"calcium ion binding, GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5A8D7U4,173,,Uncharacterized protein,Cafeteria roenbergensis (Marine flagellate),33653,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5S9IQ56,173,,Cell polarity determinant GTPase MglA,Planctomycetes bacterium SRT547,2596890,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A6A5C167,173,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
B8CEZ1,173,7443393,Ras superfamily gtp-binding protein,Thalassiosira pseudonana (Marine diatom) (Cyclotella nana),35128,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,"Endosome, Other locations",nan,nan,nan,Reference proteome,nan
E9HNF7,173,,Uncharacterized protein,Daphnia pulex (Water flea),6669,"GTPase activity, GTP binding",nan,"intracellular protein transport, melanosome organization",nan,"Golgi apparatus, Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
G0R4W8,173,14903549,Uncharacterized protein,Ichthyophthirius multifiliis (strain G5) (White spot disease agent) (Ich),857967,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
M1VHA7,173,16994180,Small GTP-binding protein of Rho family,Cyanidioschyzon merolae (strain 10D) (Red alga),280699,"GTPase activity, GTP binding",nan,nan,nan,Chloroplast,nan,nan,nan,Reference proteome,nan
Q54EW9,173,8628068,Ras-related protein RabU,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,intracellular protein transport,nan,Other locations,nan,nan,nan,Reference proteome,nan
W3X571,173,19272868,Uncharacterized protein,Pestalotiopsis fici (strain W106-1 / CGMCC3.15140),1229662,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0C2I9E7,174,,Ras-related protein Ral-B,Thelohanellus kitauei (Myxosporean),669202,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0D1YPP2,174,27314010,Uncharacterized protein,Verruconis gallopava,253628,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0N4V293,174,,Uncharacterized protein,Enterobius vermicularis (Human pinworm),51028,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A0R3WC00,174,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A226EMS8,174,,Intraflagellar transport protein 27,Folsomia candida (Springtail),158441,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A2J8A2Q9,174,,GTP-binding protein yptV3,Tetrabaena socialis,47790,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2U1KKL2,174,,Mitochondrial Rho-like protein,Artemisia annua (Sweet wormwood),35608,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A397IUX6,174,,Mitochondrial Rho GTPase,Diversispora epigaea,1348612,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A507DW12,174,,Uncharacterized protein,Powellomyces hirtus,109895,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5J4P1I6,174,,Uncharacterized protein,Paragonimus westermani,34504,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A699ZFV9,174,,Uncharacterized protein,Haematococcus lacustris (Green alga) (Haematococcus pluvialis),44745,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5BWK4,174,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A5CBA0,174,,Uncharacterized protein,Naegleria fowleri (Brain eating amoeba),5763,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
C4LVY3,174,3404706,Uncharacterized protein,Entamoeba histolytica,5759,"GTPase activity, GTP binding",nan,exocytosis,nan,Endosome,nan,nan,nan,Reference proteome,nan
D7FJQ1,174,,"IFT27, Ras superfamily GTPase",Ectocarpus siliculosus (Brown alga) (Conferva siliculosa),2880,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
I7LWJ9,174,7825621,ADP-ribosylation factor family protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding, metal ion binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
Q54FK2,174,8627836,Ras-related protein RabN2,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,phagosome-lysosome fusion,nan,"Endosome, Lysosome, Vacuole, Other locations",nan,nan,nan,Reference proteome,nan
Q54FK5,174,8627832,Ras-related protein RabN1,Dictyostelium discoideum (Slime mold),44689,"GTPase activity, GTP binding",nan,phagosome-lysosome fusion,nan,"Endosome, Lysosome, Plasma Membrane, Vacuole, Other locations",nan,nan,nan,Reference proteome,nan
A0A062XXA5,175,,Uncharacterized protein,Thermoanaerobaculum aquaticum,1312852,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0T6AW56,175,,ADP ribosylation factor,Oryctes borbonicus,1629725,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A158NWL1,175,105625185,Uncharacterized protein,Atta cephalotes (Leafcutter ant),12957,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A226EJG5,175,,Ras-like GTP-binding protein Rho1,Folsomia candida (Springtail),158441,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2K3P4E8,175,,Mitochondrial Rho GTPase,Trifolium pratense (Red clover),57577,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2P6P010,175,,Uncharacterized protein,Planoprotostelium fungivorum,1890364,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4U5MVM4,175,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A5A8C6N6,175,,Uncharacterized protein,Cafeteria roenbergensis (Marine flagellate),33653,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A6A4VEP2,175,,Ras-like protein family member 10B,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"GTPase activity, GTP binding",nan,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
